# ran on: 2022-08-08
# method = continuous (https://github.com/Elliot-Wadge/MagnetizationFitting)
# Ms = 1375.83 kA/m
# Mr/Ms = 0.2803
# J1 = 2.6907 +/- 0.0037 mJ/m^2
# J2 = 1.6889 +/- 0.0038 mJ/m^2
# A = 3.0000 +/- 0.0361 * 10 pJ/m
# theta from data = 147.44 degrees
# theta from model = 120.00 degrees
# average theta = 133.72 degrees
# measured saturation field = 3.030 T
# model saturation field = 2.950 T
# red chisq = 6.733 +/- 0.054
# standard deviation = 0.001411
# 
# Field (T),Mag (Data) (kA/m),Mag (Model) (kA/m),Residuals(kA/m)
7.700000000000000178e-01,1.031097959098455918e+00,1.040113446859425528e+00,-9.015487760969656192e-03
7.800000000000000266e-01,1.036235426511507240e+00,1.043676441316272685e+00,-7.441014804765506974e-03
7.900000000000000355e-01,1.036748976058996297e+00,1.047198666048484883e+00,-1.044968998948870437e-02
8.000000000000000444e-01,1.037517053195415206e+00,1.050680839634935193e+00,-1.316378643952005774e-02
8.100000000000000533e-01,1.042060622900963018e+00,1.054123660801939755e+00,-1.206303790097670338e-02
8.199999999999999512e-01,1.046519350076867694e+00,1.057527809222816195e+00,-1.100845914594836793e-02
8.299999999999999600e-01,1.052802191640104468e+00,1.060893931026311687e+00,-8.091739386207214349e-03
8.399999999999999689e-01,1.055394383163855476e+00,1.064222678889328755e+00,-8.828295725473311525e-03
8.499999999999999778e-01,1.063204390260672261e+00,1.067514686334922969e+00,-4.310296074250799005e-03
8.599999999999999867e-01,1.061172663918861003e+00,1.070770553028477678e+00,-9.597889109616801820e-03
8.699999999999999956e-01,1.066607080185663969e+00,1.073990875554721613e+00,-7.383795369057808040e-03
8.800000000000000044e-01,1.067714527440656314e+00,1.077176243505272968e+00,-9.461716064616538038e-03
8.900000000000000133e-01,1.070179455169942173e+00,1.080327222349126925e+00,-1.014776717918472980e-02
9.000000000000000222e-01,1.073238280606731543e+00,1.083444363582268810e+00,-1.020608297553720137e-02
9.100000000000000311e-01,1.080624075055331978e+00,1.086528205210250064e+00,-5.904130154918201152e-03
9.200000000000000400e-01,1.083173845314261197e+00,1.089579272248420994e+00,-6.405426934159761353e-03
9.300000000000000488e-01,1.086275092015872357e+00,1.092598077190306327e+00,-6.322985174434049387e-03
9.399999999999999467e-01,1.088018858243189779e+00,1.095585120426091352e+00,-7.566262182901687533e-03
9.499999999999999556e-01,1.090186837118723995e+00,1.098540890656777069e+00,-8.354053538053057143e-03
9.599999999999999645e-01,1.097360525243215701e+00,1.101465865270665034e+00,-4.105340027449311778e-03
9.699999999999999734e-01,1.096389330521946093e+00,1.104360510746780655e+00,-7.971180224834560277e-03
9.799999999999999822e-01,1.099193628369805387e+00,1.107225283022540641e+00,-8.031654652735245245e-03
9.899999999999999911e-01,1.105858261316437385e+00,1.110060627824488222e+00,-4.202366508050998754e-03
1.000000000000000000e+00,1.107220236160359583e+00,1.112866981000058875e+00,-5.646744839699149171e-03
1.010000000000000009e+00,1.112484967367876054e+00,1.115644768826653976e+00,-3.159801458777972485e-03
1.020000000000000018e+00,1.114483261184123553e+00,1.118394408305324994e+00,-3.911147121201417193e-03
1.030000000000000027e+00,1.116863346383766276e+00,1.121116307484357311e+00,-4.252961100591048059e-03
1.040000000000000036e+00,1.118310163757331832e+00,1.123810865719456320e+00,-5.500701962124304907e-03
1.050000000000000044e+00,1.119756981130897833e+00,1.126478473938122171e+00,-6.721492807224280393e-03
1.060000000000000053e+00,1.126718562931281031e+00,1.129119514894860066e+00,-2.400951963578967611e-03
1.070000000000000062e+00,1.126129159593406870e+00,1.131734363411834199e+00,-5.605203818427468600e-03
1.080000000000000071e+00,1.128806193646801015e+00,1.134323386603548256e+00,-5.517192956747157817e-03
1.090000000000000080e+00,1.130804487463048513e+00,1.136886944133652211e+00,-6.082456670603733108e-03
1.100000000000000089e+00,1.134372368077698034e+00,1.139425388417652396e+00,-5.053020339954418863e-03
1.110000000000000098e+00,1.140655209640934586e+00,1.141939064829146089e+00,-1.283855188211552442e-03
1.120000000000000107e+00,1.143459507488794102e+00,1.144428311900269835e+00,-9.688044114759035647e-04
1.129999999999999893e+00,1.141427781146982401e+00,1.146893461514510770e+00,-5.465680367528295662e-03
1.139999999999999902e+00,1.142959441050191538e+00,1.149334839085939475e+00,-6.375398035747813566e-03
1.149999999999999911e+00,1.151872401032371984e+00,1.151752763735700125e+00,1.196372966720280558e-04
1.159999999999999920e+00,1.151367840224140737e+00,1.154147548486437191e+00,-2.779708262296421654e-03
1.169999999999999929e+00,1.154808457044325332e+00,1.156519500414562529e+00,-1.711043370237087715e-03
1.179999999999999938e+00,1.159606554338803441e+00,1.158868920809327907e+00,7.376335294754471188e-04
1.189999999999999947e+00,1.162877486099701096e+00,1.161196105326755212e+00,1.681380772945837224e-03
1.199999999999999956e+00,1.162881980469330001e+00,1.163501344138075710e+00,-6.193636687458921580e-04
1.209999999999999964e+00,1.165601435787545936e+00,1.165784922072909069e+00,-1.834862853631078839e-04
1.219999999999999973e+00,1.168023942252010228e+00,1.168047118747648883e+00,-2.317649563859199344e-05
1.229999999999999982e+00,1.168282964210569208e+00,1.170288208710526634e+00,-2.005244499957322714e-03
1.239999999999999991e+00,1.168881356287701401e+00,1.172508461576630578e+00,-3.627105288929192029e-03
1.250000000000000000e+00,1.177242839827200127e+00,1.174708142144326395e+00,2.534697682873726134e-03
1.260000000000000009e+00,1.176271645105930519e+00,1.176887510515499446e+00,-6.158654095689702641e-04
