# ran on: 2022-07-28
# method = continuous (https://github.com/Elliot-Wadge/MagnetizationFitting)
# J1 = 2.6907 +/- 0.0037
# J2 = 1.6889 +/- 0.0038
# A = 3.0000 +/- 0.0361
# measured saturation field = 3.03 T
# fit saturation field = 2.95 T
# Ms = 1.38e+03 kA/m
# Mr = 1.25e-01 kA/m
# Mr/Ms = 9.09e-05
# theta_data = 180.0
# theta_model = 142.8
# theta = 161.4
# red chisq = 15.732 +/- 0.054
# 
# Field (T),Mag (Data) (kA/m),Mag (Model) (kA/m),Residuals(kA/m)
1.590000000000000080e+00,1.242809238749603029e+00,1.238880338891743982e+00,3.928899857859047273e-03
1.600000000000000089e+00,1.246758910747647553e+00,1.240496622804032389e+00,6.262287943615163499e-03
1.610000000000000098e+00,1.246593720057989962e+00,1.242099443220023414e+00,4.494276837966548754e-03
1.620000000000000107e+00,1.247786009842625665e+00,1.243688946601611889e+00,4.097063241013776391e-03
1.629999999999999893e+00,1.252244737018530341e+00,1.245265277317671559e+00,6.979459700858781090e-03
1.639999999999999902e+00,1.250637223324935432e+00,1.246828577683669836e+00,3.808645641265595572e-03
1.649999999999999911e+00,1.254714159117445105e+00,1.248378988000306444e+00,6.335171117138660435e-03
1.659999999999999920e+00,1.254209598309213858e+00,1.249916646591206604e+00,4.292951718007254058e-03
1.669999999999999929e+00,1.254935254180811199e+00,1.251441689839694504e+00,3.493564341116695005e-03
1.679999999999999938e+00,1.255491224993121824e+00,1.252954252222619580e+00,2.536972770502243790e-03
1.689999999999999947e+00,1.258168259046515969e+00,1.254454466346449859e+00,3.713792700066109731e-03
1.699999999999999956e+00,1.260760450570267199e+00,1.255942462985599084e+00,4.817987584668115275e-03
1.709999999999999964e+00,1.261189157588112897e+00,1.257418371112693167e+00,3.770786475419729555e-03
1.719999999999999973e+00,1.260472490455773142e+00,1.258882317931130812e+00,1.590172524642330387e-03
1.729999999999999982e+00,1.265143323955786103e+00,1.260334428906917825e+00,4.808895048868278010e-03
1.739999999999999991e+00,1.263620652791834997e+00,1.261774827799762022e+00,1.845824992072975235e-03
1.750000000000000000e+00,1.269139911588281322e+00,1.263203636693452703e+00,5.936274894828619253e-03
1.760000000000000009e+00,1.271732103112032330e+00,1.264620976025550458e+00,7.111127086481872084e-03
1.770000000000000018e+00,1.269021636533073982e+00,1.266026964616395745e+00,2.994671916678237622e-03
1.780000000000000027e+00,1.276407430981674196e+00,1.267421719697468863e+00,8.985711284205333271e-03
1.790000000000000036e+00,1.274842338552901078e+00,1.268805356939115114e+00,6.036981613785963319e-03
1.800000000000000044e+00,1.278198112843442313e+00,1.270177990477650010e+00,8.020122365792303754e-03
1.810000000000000053e+00,1.279899457805937946e+00,1.271539732941876055e+00,8.359724864061890415e-03
1.820000000000000062e+00,1.278079837788234974e+00,1.272890695479006462e+00,5.189142309228511607e-03
1.830000000000000071e+00,1.280035710339660682e+00,1.274230987780037294e+00,5.804722559623387568e-03
1.840000000000000080e+00,1.281609791507691609e+00,1.275560718104563174e+00,6.049073403128435444e-03
1.850000000000000089e+00,1.283947455442512542e+00,1.276879993305069405e+00,7.067462137443136783e-03
1.860000000000000098e+00,1.287091123408945492e+00,1.278188918850700739e+00,8.902204558244752874e-03
1.870000000000000107e+00,1.282641384972298404e+00,1.279487598850383989e+00,3.153786121914414764e-03
1.879999999999999893e+00,1.286675899499986286e+00,1.280776136073952243e+00,5.899763426034043690e-03
1.889999999999999902e+00,1.283626062802454726e+00,1.282054631977729064e+00,1.571430824725661424e-03
1.899999999999999911e+00,1.288212053772824328e+00,1.283323186725549014e+00,4.888867047275313737e-03
1.909999999999999920e+00,1.289107394703708387e+00,1.284581899209538358e+00,4.525495494170028721e-03
1.919999999999999929e+00,1.289111889073337291e+00,1.285830867071094952e+00,3.281022002242339752e-03
1.929999999999999938e+00,1.295352309371752275e+00,1.287070186721440024e+00,8.282122650312251366e-03
1.939999999999999947e+00,1.292005523820468849e+00,1.288299953361769834e+00,3.705570458699014580e-03
1.949999999999999956e+00,1.293834132577429630e+00,1.289520261003006762e+00,4.313871574422867283e-03
1.959999999999999964e+00,1.294093154535988610e+00,1.290731202485168927e+00,3.361952050819683180e-03
1.969999999999999973e+00,1.296133869617057899e+00,1.291932869496366099e+00,4.201000120691800177e-03
1.979999999999999982e+00,1.298089742168483829e+00,1.293125352591440569e+00,4.964389577043260005e-03
1.989999999999999991e+00,1.299324453217941100e+00,1.294308741210244307e+00,5.015712007696793151e-03
2.000000000000000000e+00,1.301450010828653525e+00,1.295483123695597483e+00,5.966887133056042458e-03
2.009999999999999787e+00,1.302175666700250867e+00,1.296648587310901268e+00,5.527079389349598415e-03
2.020000000000000018e+00,1.301077208184516332e+00,1.297805218257445992e+00,3.271989927070340087e-03
2.029999999999999805e+00,1.305790462949351083e+00,1.298953101691404433e+00,6.837361257946650284e-03
2.040000000000000036e+00,1.308085705619350447e+00,1.300092321740536461e+00,7.993383878813986598e-03
2.049999999999999822e+00,1.304611656273602094e+00,1.301222961520602350e+00,3.388694752999743542e-03
2.060000000000000053e+00,1.306906898943601014e+00,1.302345103151506089e+00,4.561795792094924806e-03
2.069999999999999840e+00,1.308184031257880298e+00,1.303458827773171347e+00,4.725203484708950796e-03
2.080000000000000071e+00,1.313279077406110051e+00,1.304564215561168306e+00,8.714861844941745872e-03
2.089999999999999858e+00,1.314938001103784115e+00,1.305661345742094026e+00,9.276655361690089308e-03
2.100000000000000089e+00,1.310827632785710684e+00,1.306750296608719886e+00,4.077336176990797867e-03
2.109999999999999876e+00,1.311977501305524818e+00,1.307831145534924744e+00,4.146355770600074209e-03
2.120000000000000107e+00,1.314230322710702392e+00,1.308903968990416278e+00,5.326353720286114424e-03
2.129999999999999893e+00,1.316525565380701535e+00,1.309968842555248258e+00,6.556722825453276116e-03
2.140000000000000124e+00,1.316148268366935437e+00,1.311025840934166853e+00,5.122427432768583699e-03
2.149999999999999911e+00,1.316322447795851058e+00,1.312075037970768410e+00,4.247409825082648638e-03
2.160000000000000142e+00,1.319169166908532143e+00,1.313116506661507144e+00,6.052660247024999052e-03
2.169999999999999929e+00,1.319088818748517689e+00,1.314150319169556713e+00,4.938499578960975356e-03
2.180000000000000160e+00,1.321511325212981758e+00,1.315176546838534133e+00,6.334778374447624927e-03
2.189999999999999947e+00,1.320540130491712150e+00,1.316195260206109108e+00,4.344870285603041893e-03
2.200000000000000178e+00,1.321435471422596208e+00,1.317183817047363981e+00,4.251654375232227778e-03
2.209999999999999964e+00,1.323561029033308856e+00,1.318188939148562167e+00,5.372089884746689137e-03
2.220000000000000195e+00,1.325516901584734786e+00,1.319185668851913684e+00,6.331232732821101550e-03
2.229999999999999982e+00,1.327048561487943923e+00,1.320175211940825877e+00,6.873349547118046132e-03
2.240000000000000213e+00,1.325568311588814163e+00,1.321157580498504069e+00,4.410731090310093805e-03
2.250000000000000000e+00,1.326124282401124788e+00,1.322132843251353718e+00,3.991439149771069950e-03
2.259999999999999787e+00,1.324983402620568462e+00,1.323101065385520858e+00,1.882337235047604196e-03
2.270000000000000018e+00,1.329314866002008211e+00,1.324062311533848346e+00,5.252554468159864598e-03
2.279999999999999805e+00,1.328937568988241891e+00,1.325016645638523061e+00,3.920923349718830053e-03
2.290000000000000036e+00,1.329705646124661023e+00,1.325964130972643096e+00,3.741515152017926837e-03
